rule_id,benefit_type,plan_tier,employment_type,tenure_min_months,age_min,age_max,preauth_required,coverage_percent,annual_limit_sgd,co_pay_sgd,is_excluded,exclusion_reason,required_docs,effective_from,effective_to,service_category
R031,mental_health,plus,full_time,0,18,70,true,0,0,0,true,Mental health benefits require minimum 6 months tenure (full-time),,2024-01-01,2099-12-31,therapy_session
R032,outpatient,premium,full_time,0,71,120,true,0,0,0,true,Age exceeds Premium plan maximum (70 years),,2024-01-01,2099-12-31,general_consult
R033,dental,premium,full_time,1,71,120,true,0,0,0,true,Age exceeds dental coverage maximum (70 years),,2024-01-01,2099-12-31,preventive_dental
R034,outpatient,basic,full_time,0,18,65,true,60,1500,20,false,,receipt;mc;preauth_form,2024-01-01,2099-12-31,day_surgery
R035,dental,premium,full_time,1,18,70,true,0,0,0,true,Cosmetic dentistry excluded for all plans,,2024-01-01,2099-12-31,cosmetic_dental
R036,outpatient,plus,full_time,0,18,70,true,80,3000,15,false,,receipt;mc;preauth_form,2024-01-01,2099-12-31,day_surgery
R037,outpatient,premium,full_time,0,18,70,true,90,5000,10,false,,receipt;mc;preauth_form,2024-01-01,2099-12-31,day_surgery
R038,dental,premium,full_time,1,18,70,true,50,2000,15,false,,invoice;treatment_summary;xray;dentist_justification;preauth_form,2024-01-01,2099-12-31,root_canal
R039,outpatient,plus,full_time,0,18,70,true,80,3000,15,false,,receipt;mc;referral_letter;preauth_form,2024-01-01,2099-12-31,diagnostic_imaging
R040,outpatient,premium,full_time,60,18,70,false,90,6000,10,false,,receipt;mc,2024-01-01,2099-12-31,general_consult
R041,dental,premium,full_time,1,18,70,true,50,2000,15,false,,invoice;treatment_summary;xray;dentist_justification;preauth_form,2024-01-01,2099-12-31,major_dental
R042,mental_health,premium,full_time,6,18,70,true,85,3500,30,false,,therapist_invoice;license_proof;diagnosis_summary;preauth_form,2024-01-01,2099-12-31,intensive_therapy
R043,outpatient,basic,full_time,0,18,65,true,0,0,0,true,Experimental treatments excluded for all plans,,2024-01-01,2099-12-31,experimental_treatment
